percent pertubation_type Round CV AUC AUPR
0 network Round--8 CV--3 0.83240 0.56417
0 network Round--8 CV--4 0.85551 0.59827
0 network Round--8 CV--5 0.83526 0.56000
0 network Round--9 CV--1 0.89483 0.77177
0 network Round--9 CV--2 0.83074 0.56829
0 network Round--9 CV--3 0.84378 0.60164
0 network Round--9 CV--4 0.85279 0.60435
0 network Round--9 CV--5 0.83946 0.58961
1 feature Round--0 CV--1 0.78844 0.54551
1 feature Round--0 CV--2 0.71114 0.39229
1 feature Round--0 CV--3 0.78157 0.56837
1 feature Round--0 CV--4 0.78003 0.49356
1 feature Round--0 CV--5 0.76903 0.50924
1 feature Round--1 CV--1 0.78860 0.58166
1 feature Round--1 CV--2 0.76738 0.50673
1 feature Round--1 CV--3 0.65793 0.35652
1 feature Round--1 CV--4 0.67216 0.35207
1 feature Round--1 CV--5 0.78150 0.52272
1 feature Round--2 CV--1 0.69758 0.43763
1 feature Round--2 CV--2 0.76707 0.48530
1 feature Round--2 CV--3 0.70747 0.36593
1 feature Round--2 CV--4 0.72823 0.40810
1 feature Round--2 CV--5 0.76274 0.50732
1 feature Round--3 CV--1 0.71314 0.38895
1 feature Round--3 CV--2 0.72387 0.41756
1 feature Round--3 CV--3 0.79587 0.53608
1 feature Round--3 CV--4 0.72240 0.42456
1 feature Round--3 CV--5 0.69912 0.38373
1 feature Round--4 CV--1 0.77713 0.49693
1 feature Round--4 CV--2 0.73934 0.43442
1 feature Round--4 CV--3 0.69844 0.41096
1 feature Round--4 CV--4 0.74742 0.45517
1 feature Round--4 CV--5 0.77368 0.54429
1 feature Round--5 CV--1 0.78574 0.54005
1 feature Round--5 CV--2 0.75241 0.47190
1 feature Round--5 CV--3 0.77615 0.54175
1 feature Round--5 CV--4 0.71182 0.35873
1 feature Round--5 CV--5 0.78391 0.52228
1 feature Round--6 CV--1 0.76426 0.46039
1 feature Round--6 CV--2 0.75413 0.48270
1 feature Round--6 CV--3 0.79072 0.53098
1 feature Round--6 CV--4 0.75956 0.45907
1 feature Round--6 CV--5 0.78403 0.53152
1 feature Round--7 CV--1 0.71820 0.39866
1 feature Round--7 CV--2 0.80065 0.54374
1 feature Round--7 CV--3 0.69754 0.41243
1 feature Round--7 CV--4 0.78206 0.54607
1 feature Round--7 CV--5 0.68353 0.38938
1 feature Round--8 CV--1 0.78271 0.51146
1 feature Round--8 CV--2 0.68389 0.35248
1 feature Round--8 CV--3 0.72095 0.41309
1 feature Round--8 CV--4 0.73411 0.42638
1 feature Round--8 CV--5 0.71519 0.36605
1 feature Round--9 CV--1 0.78128 0.48770
1 feature Round--9 CV--2 0.72240 0.43656
1 feature Round--9 CV--3 0.67622 0.37336
1 feature Round--9 CV--4 0.79436 0.58257
1 feature Round--9 CV--5 0.76629 0.53086
0.75 feature Round--0 CV--1 0.85010 0.65812
0.75 feature Round--0 CV--2 0.85798 0.69716
0.75 feature Round--0 CV--3 0.81064 0.49864
0.75 feature Round--0 CV--4 0.79521 0.53198
0.75 feature Round--0 CV--5 0.83344 0.64651
0.75 feature Round--1 CV--1 0.75754 0.45264
0.75 feature Round--1 CV--2 0.79278 0.50854
0.75 feature Round--1 CV--3 0.84365 0.64524
0.75 feature Round--1 CV--4 0.76960 0.46845
0.75 feature Round--1 CV--5 0.84203 0.65662
0.75 feature Round--2 CV--1 0.82995 0.62318
0.75 feature Round--2 CV--2 0.86096 0.69374
0.75 feature Round--2 CV--3 0.77549 0.47605
0.75 feature Round--2 CV--4 0.79052 0.47151
0.75 feature Round--2 CV--5 0.76046 0.49034
0.75 feature Round--3 CV--1 0.77916 0.47359
0.75 feature Round--3 CV--2 0.78140 0.49546
0.75 feature Round--3 CV--3 0.86940 0.71250
0.75 feature Round--3 CV--4 0.86477 0.69967
0.75 feature Round--3 CV--5 0.76723 0.48845
0.75 feature Round--4 CV--1 0.78736 0.47125
0.75 feature Round--4 CV--2 0.86125 0.67617
0.75 feature Round--4 CV--3 0.82084 0.64238
0.75 feature Round--4 CV--4 0.77841 0.48198
