nodes edges methods memory_usage avg_epoch_time
30000 600000 MTGCN 7.1445300000000005 1.051104235649109
30000 600000 SVM 0.0390625 20.269980907440186
30000 800000 EMOGI 5.78125 0.154419846534729
30000 800000 GAT 7.50391 0.1504921531677246
30000 800000 GCN 5.669919999999999 0.12269863605499268
30000 800000 MTGCN 9.335939999999999 1.3888991832733155
30000 800000 SVM 0.0449219 21.35974907875061
10000 1000000 EssSubgraph 0.115234375 1.3668904602527618
10000 1200000 EssSubgraph 0.123046875 1.567399024963379
10000 1400000 EssSubgraph 0.138671875 1.6449026811122893
10000 1600000 EssSubgraph 0.1640625 1.6940974164009095
10000 1800000 EssSubgraph 0.1875 1.7444769215583802
10000 200000 EssSubgraph 0.064453125 1.4991969895362853
10000 400000 EssSubgraph 0.064453125 1.5644827055931092
10000 600000 EssSubgraph 0.083984375 1.59256969332695
10000 800000 EssSubgraph 0.111328125 1.648510411977768
15000 1000000 EssSubgraph 0.115234375 1.680546478033066
15000 1200000 EssSubgraph 0.123046875 1.7273673808574677
15000 1400000 EssSubgraph 0.138671875 1.7822012495994568
15000 1600000 EssSubgraph 0.1484375 1.8036591935157775
15000 1800000 EssSubgraph 0.171875 1.992987903356552
15000 200000 EssSubgraph 0.06640625 1.7738887405395507
15000 400000 EssSubgraph 0.064453125 1.8025071811676026
15000 600000 EssSubgraph 0.083984375 1.8481036829948425
15000 800000 EssSubgraph 0.091796875 1.8664502775669098
20000 1000000 EssSubgraph 0.12109375 1.9178167533874513
20000 1200000 EssSubgraph 0.126953125 1.9499947440624237
20000 1400000 EssSubgraph 0.14453125 1.9882380938529969
20000 1600000 EssSubgraph 0.158203125 2.0052625691890715
20000 1800000 EssSubgraph 0.162109375 2.0468891787528993
20000 200000 EssSubgraph 0.078125 1.826156278848648
20000 400000 EssSubgraph 0.08203125 1.864509733915329
20000 600000 EssSubgraph 0.109375 1.886775860786438
20000 800000 EssSubgraph 0.10546875 1.9092846357822417
25000 1000000 EssSubgraph 0.12109375 1.9795798945426941
25000 1200000 EssSubgraph 0.12890625 2.005496858358383
25000 1400000 EssSubgraph 0.14453125 2.02794460773468
25000 1600000 EssSubgraph 0.169921875 2.2379291081428527
25000 1800000 EssSubgraph 0.173828125 2.2759551310539248
