percent pertubation_type Round CV AUC AUPR
0.25 feature Round--6 CV--5 0.87551 0.72702
0.25 feature Round--7 CV--1 0.86767 0.73013
0.25 feature Round--7 CV--2 0.89959 0.75285
0.25 feature Round--7 CV--3 0.89053 0.75529
0.25 feature Round--7 CV--4 0.87974 0.73004
0.25 feature Round--7 CV--5 0.88532 0.72928
0.25 feature Round--8 CV--1 0.88850 0.76590
0.25 feature Round--8 CV--2 0.87762 0.74580
0.25 feature Round--8 CV--3 0.86044 0.70560
0.25 feature Round--8 CV--4 0.88766 0.73950
0.25 feature Round--8 CV--5 0.87935 0.74318
0.25 feature Round--9 CV--1 0.89650 0.77116
0.25 feature Round--9 CV--2 0.87410 0.73092
0.25 feature Round--9 CV--3 0.88007 0.75535
0.25 feature Round--9 CV--4 0.89004 0.73728
0.25 feature Round--9 CV--5 0.87130 0.72207
0 feature Round--0 CV--1 0.90111 0.75811
0 feature Round--0 CV--2 0.91421 0.80057
0 feature Round--0 CV--3 0.91774 0.79584
0 feature Round--0 CV--4 0.91785 0.81082
0 feature Round--0 CV--5 0.89669 0.75655
0 feature Round--1 CV--1 0.90176 0.77570
0 feature Round--1 CV--2 0.89986 0.75584
0 feature Round--1 CV--3 0.90767 0.76606
0 feature Round--1 CV--4 0.90504 0.76886
0 feature Round--1 CV--5 0.90813 0.78746
0 feature Round--2 CV--1 0.89770 0.76432
0 feature Round--2 CV--2 0.91211 0.78479
0 feature Round--2 CV--3 0.91476 0.79955
0 feature Round--2 CV--4 0.91216 0.79128
0 feature Round--2 CV--5 0.92613 0.81412
0 feature Round--3 CV--1 0.90578 0.76529
0 feature Round--3 CV--2 0.90024 0.76187
0 feature Round--3 CV--3 0.91422 0.79428
0 feature Round--3 CV--4 0.90692 0.77864
0 feature Round--3 CV--5 0.90339 0.74620
0 feature Round--4 CV--1 0.91181 0.79249
0 feature Round--4 CV--2 0.91211 0.78822
0 feature Round--4 CV--3 0.89302 0.75677
0 feature Round--4 CV--4 0.87791 0.73179
0 feature Round--4 CV--5 0.90130 0.75988
0 feature Round--5 CV--1 0.89179 0.75009
0 feature Round--5 CV--2 0.89626 0.74976
0 feature Round--5 CV--3 0.91270 0.80176
0 feature Round--5 CV--4 0.88463 0.75310
0 feature Round--5 CV--5 0.90994 0.79351
0 feature Round--6 CV--1 0.89425 0.74786
0 feature Round--6 CV--2 0.91037 0.77465
0 feature Round--6 CV--3 0.90984 0.76423
0 feature Round--6 CV--4 0.90087 0.76670
0 feature Round--6 CV--5 0.89868 0.77784
0 feature Round--7 CV--1 0.88825 0.76694
0 feature Round--7 CV--2 0.91200 0.78248
0 feature Round--7 CV--3 0.90421 0.78150
0 feature Round--7 CV--4 0.90124 0.77978
0 feature Round--7 CV--5 0.89934 0.75454
0 feature Round--8 CV--1 0.90486 0.79526
0 feature Round--8 CV--2 0.89895 0.77314
0 feature Round--8 CV--3 0.88741 0.74888
0 feature Round--8 CV--4 0.90276 0.77113
0 feature Round--8 CV--5 0.89938 0.78324
0 feature Round--9 CV--1 0.90802 0.78902
0 feature Round--9 CV--2 0.89422 0.75870
0 feature Round--9 CV--3 0.90295 0.78974
0 feature Round--9 CV--4 0.90312 0.76997
0 feature Round--9 CV--5 0.88775 0.75527
1 networkfeature Round--0 CV--1 0.51858 0.22071
1 networkfeature Round--0 CV--2 0.52933 0.23485
1 networkfeature Round--0 CV--3 0.49929 0.22295
1 networkfeature Round--0 CV--4 0.52235 0.23533
1 networkfeature Round--0 CV--5 0.49745 0.20877
1 networkfeature Round--1 CV--1 0.50660 0.21972
1 networkfeature Round--1 CV--2 0.49393 0.21391
1 networkfeature Round--1 CV--3 0.49401 0.21861
1 networkfeature Round--1 CV--4 0.50533 0.21899
1 networkfeature Round--1 CV--5 0.54185 0.23173
1 networkfeature Round--2 CV--1 0.49706 0.21782
1 networkfeature Round--2 CV--2 0.49867 0.22611
1 networkfeature Round--2 CV--3 0.52253 0.23523
1 networkfeature Round--2 CV--4 0.52736 0.22570
1 networkfeature Round--2 CV--5 0.52261 0.21803
1 networkfeature Round--3 CV--1 0.49815 0.21092
1 networkfeature Round--3 CV--2 0.51508 0.21693
1 networkfeature Round--3 CV--3 0.50942 0.22155
1 networkfeature Round--3 CV--4 0.51943 0.24103
1 networkfeature Round--3 CV--5 0.49345 0.22688
1 networkfeature Round--4 CV--1 0.52218 0.22837
1 networkfeature Round--4 CV--2 0.51220 0.22207
1 networkfeature Round--4 CV--3 0.49706 0.21278
1 networkfeature Round--4 CV--4 0.47381 0.20890
1 networkfeature Round--4 CV--5 0.48744 0.20800
1 networkfeature Round--5 CV--1 0.50542 0.22013
1 networkfeature Round--5 CV--2 0.49641 0.22692
1 networkfeature Round--5 CV--3 0.51890 0.22494
1 networkfeature Round--5 CV--4 0.51865 0.22126
1 networkfeature Round--5 CV--5 0.51518 0.22758
1 networkfeature Round--6 CV--1 0.50864 0.21596
1 networkfeature Round--6 CV--2 0.49334 0.21648
1 networkfeature Round--6 CV--3 0.52609 0.22500
1 networkfeature Round--6 CV--4 0.52207 0.22406
1 networkfeature Round--6 CV--5 0.52162 0.22351
1 networkfeature Round--7 CV--1 0.48820 0.20641
1 networkfeature Round--7 CV--2 0.49424 0.21056
1 networkfeature Round--7 CV--3 0.49662 0.21275
1 networkfeature Round--7 CV--4 0.51003 0.21683
1 networkfeature Round--7 CV--5 0.51229 0.21527
1 networkfeature Round--8 CV--1 0.49103 0.21378
1 networkfeature Round--8 CV--2 0.52532 0.22681
1 networkfeature Round--8 CV--3 0.53610 0.24106
1 networkfeature Round--8 CV--4 0.52634 0.23356
1 networkfeature Round--8 CV--5 0.51350 0.21807
1 networkfeature Round--9 CV--1 0.48520 0.20768
1 networkfeature Round--9 CV--2 0.52986 0.22207
1 networkfeature Round--9 CV--3 0.50290 0.21382
1 networkfeature Round--9 CV--4 0.49182 0.21029
1 networkfeature Round--9 CV--5 0.51575 0.22399
0.75 networkfeature Round--0 CV--1 0.69634 0.40729
0.75 networkfeature Round--0 CV--2 0.63613 0.30632
0.75 networkfeature Round--0 CV--3 0.59647 0.28489
0.75 networkfeature Round--0 CV--4 0.61748 0.28796
0.75 networkfeature Round--0 CV--5 0.62113 0.30925
0.75 networkfeature Round--1 CV--1 0.67192 0.37623
0.75 networkfeature Round--1 CV--2 0.63902 0.31197
