NANOS1 PUM2
ARL6 ARL6IP4
ARL6 ARL6IP1
POLR1C POLR1D
DNAJA3 RNF34
ING4 RELA
COPG1 COPZ1
COPG1 COPZ2
CNKSR2 LRRC7
EXOC2 EXOC8
ASIC3 LIN7B
MXD4 TCP10L
RND1 UBXN11
DNAJC30 EXOSC6
DXO XRN2
UPF2 XRN2
ZHX1 ZHX3
MAPKAPK2 PHC2
CDC7 DBF4
ARPC4 ARPC5
MYPN NEBL
NIF3L1 THOC7
GGA3 TSG101
PHACTR3 PPP1CA
ARL6 ATL2
ARL6 ARL6IP6
ARID1B SMARCA4
PRPF6 TXNL4B
ERC2 PPFIA1
ERC2 PPFIA4
DNMBP EVL
VPS28 VPS37A
PKD2L1 TNNI3
TNNI3 TNNI3K
ECT2 KLHL20
TAF10 TAF13
EXOSC1 EXOSC6
CDK14 SEPT8
ASF1A TLK1
ASF1B TLK1
ANKRD23 MYPN
GOLGA3 GOLGA7
CDHR2 MAST2
FHOD1 RNF5
POLE STK19
POLR2G STK19
SLC29A1 STK19
PRAME STK19
NELFB NELFE
NCOR1 NELFE
CACTIN NELFE
CLIC1 LSM1
ABHD16A IFITM1
ABHD16A RNF5
ABHD16A HM13
ABHD16A TMEM147
ABHD16A TMEM222
ABHD16A DNAJC1
ABHD16A GPRC5C
ABHD16A SPAG7
ABHD16A SAFB
ABHD16A ATP5G3
CSNK2A2 CSNK2B
CSNK2B LYN
CSNK2B RPL5
CSNK2B MBD4
C6orf47 FGFR3
ATP6V1E1 ATP6V1G2
GORASP2 TSC22D4
CEP72 KIAA0408
CDCA3 TRAF2
CCDC158 FCHSD2
LENG8 RHOXF2
MAGEA11 MGME1
KRT15 MCM10
CALCOCO2 TP53RK
BNIP3L DOK5
CCDC85B FAM27E3
CEP70 MCM10
KRT81 KXD1
ACTB CFL1
CCDC85B ZNF250
LMO2 MAPRE2
EWSR1 PRTFDC1
CRACR2A TRIM29
CINP CLUAP1
CCNK DVL3
MAGEH1 MOAP1
LNX1 MAGEA11
KRTAP4-12 QPRT
DCTD LNX1
ALS2CR11 VIM
