percent pertubation_type Round CV AUC AUPR
0 network Round--8 CV--4 0.88903 0.70668
0 network Round--8 CV--5 0.87555 0.69235
0 network Round--9 CV--1 0.87666 0.67402
0 network Round--9 CV--2 0.86374 0.61097
0 network Round--9 CV--3 0.87540 0.70831
0 network Round--9 CV--4 0.88710 0.68350
0 network Round--9 CV--5 0.86500 0.64096
1 feature Round--0 CV--1 0.81843 0.59068
1 feature Round--0 CV--2 0.82934 0.60904
1 feature Round--0 CV--3 0.80095 0.55231
1 feature Round--0 CV--4 0.84442 0.66784
1 feature Round--0 CV--5 0.81840 0.56634
1 feature Round--1 CV--1 0.80930 0.62684
1 feature Round--1 CV--2 0.81700 0.62649
1 feature Round--1 CV--3 0.80612 0.55122
1 feature Round--1 CV--4 0.80709 0.60983
1 feature Round--1 CV--5 0.81667 0.56581
1 feature Round--2 CV--1 0.80659 0.59948
1 feature Round--2 CV--2 0.80774 0.57950
1 feature Round--2 CV--3 0.80373 0.56398
1 feature Round--2 CV--4 0.83284 0.62853
1 feature Round--2 CV--5 0.82024 0.61528
1 feature Round--3 CV--1 0.80768 0.55592
1 feature Round--3 CV--2 0.79910 0.55794
1 feature Round--3 CV--3 0.81997 0.60169
1 feature Round--3 CV--4 0.74820 0.43303
1 feature Round--3 CV--5 0.79404 0.53251
1 feature Round--4 CV--1 0.81891 0.55257
1 feature Round--4 CV--2 0.81668 0.63952
1 feature Round--4 CV--3 0.80763 0.55882
1 feature Round--4 CV--4 0.79835 0.59737
1 feature Round--4 CV--5 0.81407 0.58133
1 feature Round--5 CV--1 0.80451 0.55233
1 feature Round--5 CV--2 0.75334 0.48439
1 feature Round--5 CV--3 0.78185 0.54763
1 feature Round--5 CV--4 0.81004 0.57396
1 feature Round--5 CV--5 0.80902 0.59233
1 feature Round--6 CV--1 0.82017 0.63289
1 feature Round--6 CV--2 0.80709 0.59489
1 feature Round--6 CV--3 0.82373 0.59664
1 feature Round--6 CV--4 0.82421 0.58565
1 feature Round--6 CV--5 0.81430 0.59280
1 feature Round--7 CV--1 0.79646 0.57588
1 feature Round--7 CV--2 0.81727 0.57997
1 feature Round--7 CV--3 0.83281 0.64502
1 feature Round--7 CV--4 0.83153 0.62765
1 feature Round--7 CV--5 0.78285 0.52550
1 feature Round--8 CV--1 0.83060 0.64840
1 feature Round--8 CV--2 0.78960 0.54229
1 feature Round--8 CV--3 0.80578 0.55685
1 feature Round--8 CV--4 0.82171 0.61098
1 feature Round--8 CV--5 0.82244 0.59772
1 feature Round--9 CV--1 0.82288 0.58638
1 feature Round--9 CV--2 0.79794 0.54519
1 feature Round--9 CV--3 0.81575 0.62920
1 feature Round--9 CV--4 0.79954 0.55882
1 feature Round--9 CV--5 0.79373 0.57429
0.75 feature Round--0 CV--1 0.85151 0.60111
0.75 feature Round--0 CV--2 0.83875 0.57128
0.75 feature Round--0 CV--3 0.85543 0.63176
0.75 feature Round--0 CV--4 0.86913 0.66713
0.75 feature Round--0 CV--5 0.83887 0.60085
0.75 feature Round--1 CV--1 0.83255 0.61841
0.75 feature Round--1 CV--2 0.85227 0.64068
0.75 feature Round--1 CV--3 0.83574 0.60325
0.75 feature Round--1 CV--4 0.84063 0.61128
0.75 feature Round--1 CV--5 0.85673 0.61988
0.75 feature Round--2 CV--1 0.84952 0.61593
0.75 feature Round--2 CV--2 0.85066 0.59901
0.75 feature Round--2 CV--3 0.84596 0.59149
0.75 feature Round--2 CV--4 0.84856 0.58407
0.75 feature Round--2 CV--5 0.86070 0.65533
0.75 feature Round--3 CV--1 0.83444 0.59127
0.75 feature Round--3 CV--2 0.84047 0.60138
0.75 feature Round--3 CV--3 0.86123 0.60469
0.75 feature Round--3 CV--4 0.85234 0.59295
0.75 feature Round--3 CV--5 0.83803 0.59788
0.75 feature Round--4 CV--1 0.85784 0.64517
0.75 feature Round--4 CV--2 0.85385 0.63054
0.75 feature Round--4 CV--3 0.81758 0.55664
0.75 feature Round--4 CV--4 0.83036 0.60722
0.75 feature Round--4 CV--5 0.84063 0.58687
0.75 feature Round--5 CV--1 0.83811 0.60007
0.75 feature Round--5 CV--2 0.81997 0.58515
0.75 feature Round--5 CV--3 0.85380 0.64525
0.75 feature Round--5 CV--4 0.83445 0.59656
0.75 feature Round--5 CV--5 0.85518 0.63409
0.75 feature Round--6 CV--1 0.83762 0.57822
0.75 feature Round--6 CV--2 0.84524 0.57480
0.75 feature Round--6 CV--3 0.85130 0.61851
0.75 feature Round--6 CV--4 0.84479 0.61497
0.75 feature Round--6 CV--5 0.84533 0.64616
0.75 feature Round--7 CV--1 0.82625 0.61930
0.75 feature Round--7 CV--2 0.84173 0.57541
0.75 feature Round--7 CV--3 0.84267 0.60110
0.75 feature Round--7 CV--4 0.85398 0.61919
0.75 feature Round--7 CV--5 0.82815 0.58398
0.75 feature Round--8 CV--1 0.84694 0.59018
0.75 feature Round--8 CV--2 0.81476 0.56456
0.75 feature Round--8 CV--3 0.81055 0.53860
0.75 feature Round--8 CV--4 0.84134 0.62228
0.75 feature Round--8 CV--5 0.84365 0.60010
0.75 feature Round--9 CV--1 0.84359 0.65863
0.75 feature Round--9 CV--2 0.82739 0.54338
0.75 feature Round--9 CV--3 0.84487 0.62021
0.75 feature Round--9 CV--4 0.85326 0.61204
0.75 feature Round--9 CV--5 0.82835 0.58714
0.5 feature Round--0 CV--1 0.85903 0.64840
0.5 feature Round--0 CV--2 0.85777 0.57903
0.5 feature Round--0 CV--3 0.88556 0.66318
0.5 feature Round--0 CV--4 0.88380 0.71585
0.5 feature Round--0 CV--5 0.84953 0.63947
0.5 feature Round--1 CV--1 0.85403 0.65403
0.5 feature Round--1 CV--2 0.85831 0.64296
0.5 feature Round--1 CV--3 0.86468 0.65782
0.5 feature Round--1 CV--4 0.85448 0.63116
0.5 feature Round--1 CV--5 0.87557 0.64650
0.5 feature Round--2 CV--1 0.85951 0.65984
0.5 feature Round--2 CV--2 0.86177 0.60715
0.5 feature Round--2 CV--3 0.86554 0.63933
0.5 feature Round--2 CV--4 0.87221 0.62540
0.5 feature Round--2 CV--5 0.87818 0.69682
0.5 feature Round--3 CV--1 0.86725 0.63316
0.5 feature Round--3 CV--2 0.86300 0.65153
0.5 feature Round--3 CV--3 0.87572 0.63557
0.5 feature Round--3 CV--4 0.87115 0.65919
0.5 feature Round--3 CV--5 0.86735 0.66163
0.5 feature Round--4 CV--1 0.87447 0.66692
0.5 feature Round--4 CV--2 0.87550 0.66069
0.5 feature Round--4 CV--3 0.84765 0.63694
0.5 feature Round--4 CV--4 0.84005 0.61559
0.5 feature Round--4 CV--5 0.85390 0.60456
0.5 feature Round--5 CV--1 0.85177 0.62985
0.5 feature Round--5 CV--2 0.85511 0.59739
0.5 feature Round--5 CV--3 0.87063 0.65927
0.5 feature Round--5 CV--4 0.84890 0.61225
0.5 feature Round--5 CV--5 0.87673 0.67940
0.5 feature Round--6 CV--1 0.85143 0.59823
0.5 feature Round--6 CV--2 0.86332 0.63096
0.5 feature Round--6 CV--3 0.86795 0.61136
0.5 feature Round--6 CV--4 0.86686 0.63874
0.5 feature Round--6 CV--5 0.86678 0.69211
0.5 feature Round--7 CV--1 0.85177 0.62820
0.5 feature Round--7 CV--2 0.86627 0.60603
0.5 feature Round--7 CV--3 0.86231 0.60894
0.5 feature Round--7 CV--4 0.86501 0.66564
0.5 feature Round--7 CV--5 0.86062 0.60608
0.5 feature Round--8 CV--1 0.86883 0.66367
0.5 feature Round--8 CV--2 0.84501 0.58413
0.5 feature Round--8 CV--3 0.85260 0.60876
0.5 feature Round--8 CV--4 0.87566 0.65888
0.5 feature Round--8 CV--5 0.85092 0.58595
0.5 feature Round--9 CV--1 0.87381 0.70762
0.5 feature Round--9 CV--2 0.85482 0.63709
0.5 feature Round--9 CV--3 0.86012 0.66052
0.5 feature Round--9 CV--4 0.87610 0.64701
0.5 feature Round--9 CV--5 0.85016 0.62837
0.25 feature Round--0 CV--1 0.86062 0.60781
0.25 feature Round--0 CV--2 0.87405 0.62913
0.25 feature Round--0 CV--3 0.89245 0.67594
0.25 feature Round--0 CV--4 0.89214 0.71402
0.25 feature Round--0 CV--5 0.85948 0.60895
0.25 feature Round--1 CV--1 0.86719 0.65524
0.25 feature Round--1 CV--2 0.86725 0.61378
0.25 feature Round--1 CV--3 0.88590 0.68121
0.25 feature Round--1 CV--4 0.87402 0.65315
0.25 feature Round--1 CV--5 0.88268 0.67239
0.25 feature Round--2 CV--1 0.86811 0.61152
0.25 feature Round--2 CV--2 0.87334 0.62848
0.25 feature Round--2 CV--3 0.87776 0.62831
0.25 feature Round--2 CV--4 0.87684 0.62339
0.25 feature Round--2 CV--5 0.89106 0.66469
0.25 feature Round--3 CV--1 0.87940 0.65828
0.25 feature Round--3 CV--2 0.87539 0.66746
0.25 feature Round--3 CV--3 0.89021 0.68026
0.25 feature Round--3 CV--4 0.89251 0.70436
0.25 feature Round--3 CV--5 0.87087 0.63945
0.25 feature Round--4 CV--1 0.88005 0.64728
0.25 feature Round--4 CV--2 0.88133 0.68136
