percent pertubation_type Round CV AUC AUPR
1 feature Round--6 CV--5 0.74662 0.48122
1 feature Round--7 CV--1 0.76127 0.50920
1 feature Round--7 CV--2 0.75240 0.45970
1 feature Round--7 CV--3 0.74315 0.47094
1 feature Round--7 CV--4 0.73001 0.44401
1 feature Round--7 CV--5 0.70847 0.40639
1 feature Round--8 CV--1 0.75638 0.49803
1 feature Round--8 CV--2 0.75910 0.49432
1 feature Round--8 CV--3 0.73848 0.48561
1 feature Round--8 CV--4 0.74273 0.46660
1 feature Round--8 CV--5 0.75232 0.46648
1 feature Round--9 CV--1 0.78414 0.47854
1 feature Round--9 CV--2 0.75641 0.47837
1 feature Round--9 CV--3 0.74252 0.46940
1 feature Round--9 CV--4 0.70619 0.40287
1 feature Round--9 CV--5 0.72857 0.45385
0.75 feature Round--0 CV--1 0.85579 0.65749
0.75 feature Round--0 CV--2 0.83668 0.63678
0.75 feature Round--0 CV--3 0.83536 0.66575
0.75 feature Round--0 CV--4 0.85844 0.68258
0.75 feature Round--0 CV--5 0.82076 0.57994
0.75 feature Round--1 CV--1 0.81753 0.60180
0.75 feature Round--1 CV--2 0.81961 0.59385
0.75 feature Round--1 CV--3 0.82148 0.59238
0.75 feature Round--1 CV--4 0.79971 0.51124
0.75 feature Round--1 CV--5 0.83564 0.59668
0.75 feature Round--2 CV--1 0.81867 0.58853
0.75 feature Round--2 CV--2 0.85263 0.63911
0.75 feature Round--2 CV--3 0.82773 0.58092
0.75 feature Round--2 CV--4 0.83751 0.61624
0.75 feature Round--2 CV--5 0.85252 0.67132
0.75 feature Round--3 CV--1 0.82822 0.61091
0.75 feature Round--3 CV--2 0.80908 0.58787
0.75 feature Round--3 CV--3 0.86267 0.68947
0.75 feature Round--3 CV--4 0.84174 0.62698
0.75 feature Round--3 CV--5 0.83718 0.62112
0.75 feature Round--4 CV--1 0.83458 0.61379
0.75 feature Round--4 CV--2 0.84957 0.62848
0.75 feature Round--4 CV--3 0.81374 0.56167
0.75 feature Round--4 CV--4 0.80477 0.55822
0.75 feature Round--4 CV--5 0.83312 0.64910
0.75 feature Round--5 CV--1 0.82873 0.62683
0.75 feature Round--5 CV--2 0.82868 0.61041
0.75 feature Round--5 CV--3 0.83183 0.66148
0.75 feature Round--5 CV--4 0.81655 0.62172
0.75 feature Round--5 CV--5 0.84195 0.63476
0.75 feature Round--6 CV--1 0.81237 0.54000
0.75 feature Round--6 CV--2 0.83775 0.59314
0.75 feature Round--6 CV--3 0.81359 0.59713
0.75 feature Round--6 CV--4 0.82374 0.61417
0.75 feature Round--6 CV--5 0.81388 0.61157
0.75 feature Round--7 CV--1 0.83062 0.65051
0.75 feature Round--7 CV--2 0.83970 0.63509
